# ASIC configuration for the measurements:
# ------------------------------------------------------------------------------
# Mode = 001
# Bias = 0101
# CSArefs = 011
# Shaper = 101
# Leakage mask = 00000000000000000000000000000000
# Discr. enable mask = 00000000000000000000000000000000
# Calibration mask = 11111111111111111111111111111111
# Threshold = 128
# FineTHR[0] = 011
# FineTHR[1] = 011
# FineTHR[2] = 011
# FineTHR[3] = 011
# FineTHR[4] = 011
# FineTHR[5] = 011
# FineTHR[6] = 011
# FineTHR[7] = 011
# FineTHR[8] = 011
# FineTHR[9] = 011
# FineTHR[10] = 011
# FineTHR[11] = 011
# FineTHR[12] = 011
# FineTHR[13] = 011
# FineTHR[14] = 011
# FineTHR[15] = 011
# FineTHR[16] = 011
# FineTHR[17] = 011
# FineTHR[18] = 011
# FineTHR[19] = 011
# FineTHR[20] = 011
# FineTHR[21] = 011
# FineTHR[22] = 011
# FineTHR[23] = 011
# FineTHR[24] = 011
# FineTHR[25] = 011
# FineTHR[26] = 011
# FineTHR[27] = 011
# FineTHR[28] = 011
# FineTHR[29] = 011
# FineTHR[30] = 011
# FineTHR[31] = 011
# ------------------------------------------------------------------------------
# Event data block #1
# Delay	DAC	Type	CH#	Value
50	1000	00	17	520
50	1000	00	18	515
50	1000	00	19	506
50	1000	00	20	567
50	1000	00	21	554
50	1000	00	22	547
50	1000	00	23	557
50	1000	00	24	602
50	1000	00	25	526
50	1000	00	26	509
50	1000	00	27	583
50	1000	00	28	602
50	1000	00	29	596
50	1000	00	30	558
50	1000	10	31	588
50	1000	00	0	572
50	1000	00	1	551
50	1000	00	2	544
50	1000	00	3	563
50	1000	00	4	537
50	1000	00	5	665
50	1000	00	6	608
50	1000	00	7	550
50	1000	00	8	570
50	1000	00	9	514
50	1000	00	10	630
50	1000	00	11	564
50	1000	00	12	533
50	1000	00	13	584
50	1000	00	14	603
50	1000	00	15	559
50	1000	00	16	569
50	1000	00	17	523
50	1000	00	18	514
50	1000	00	19	504
50	1000	00	20	568
50	1000	00	21	556
50	1000	00	22	545
50	1000	00	23	561
50	1000	00	24	606
50	1000	00	25	528
50	1000	00	26	506
50	1000	00	27	582
50	1000	00	28	601
50	1000	00	29	597
50	1000	00	30	557
50	1000	10	31	586
50	1000	00	0	580
50	1000	00	1	552
50	1000	00	2	544
50	1000	00	3	559
50	1000	00	4	541
50	1000	00	5	665
50	1000	00	6	610
50	1000	00	7	554
50	1000	00	8	573
50	1000	00	9	519
50	1000	00	10	628
50	1000	00	11	565
50	1000	00	12	533
50	1000	00	13	583
50	1000	00	14	601
50	1000	00	15	567
50	1000	00	16	569
50	1000	00	17	523
50	1000	00	18	514
50	1000	00	19	507
50	1000	00	20	570
50	1000	00	21	554
50	1000	00	22	546
50	1000	00	23	559
50	1000	00	24	587
50	1000	00	25	528
50	1000	00	26	507
50	1000	00	27	582
50	1000	00	28	602
50	1000	00	29	591
50	1000	00	30	561
50	1000	10	31	585
50	1000	00	0	573
50	1000	00	1	552
50	1000	00	2	541
50	1000	00	3	566
50	1000	00	4	540
50	1000	00	5	667
50	1000	00	6	613
50	1000	00	7	553
50	1000	00	8	574
50	1000	00	9	519
50	1000	00	10	631
50	1000	00	11	565
50	1000	00	12	530
50	1000	00	13	584
50	1000	00	14	602
50	1000	00	15	565
50	1000	00	16	573
50	1000	00	17	523
50	1000	00	18	522
50	1000	00	19	507
50	1000	00	20	571
50	1000	00	21	553
50	1000	00	22	550
50	1000	00	23	561
50	1000	00	24	598
50	1000	00	25	530
50	1000	00	26	511
50	1000	00	27	590
50	1000	00	28	601
50	1000	00	29	594
50	1000	00	30	557
50	1000	10	31	587
50	1000	00	0	578
50	1000	00	1	550
50	1000	00	2	547
50	1000	00	3	566
50	1000	00	4	544
50	1000	00	5	669
50	1000	00	6	616
50	1000	00	7	555
50	1000	00	8	574
50	1000	00	9	520
50	1000	00	10	629
50	1000	00	11	569
50	1000	00	12	532
50	1000	00	13	588
50	1000	00	14	605
50	1000	00	15	564
50	1000	00	16	573
50	1000	00	17	528
50	1000	00	18	516
